,address,historical_description_count,historical_word_count,lat,lng,map_url,name,total_description_count,total_word_count,url,viewport,0
???,"Pingtung County, Taiwan",29,2128,22.5519759,120.5487597,"https://maps.google.com/?q=Pingtung+County,+Taiwan&ftid=0x3471d94ee1742281:0xed215194b3a68355",Pingtung County,531,11545,https://zh.wikipedia.org/wiki/%E5%B1%8F%E6%9D%B1%E7%B8%A3,"{'southwest': {'lat': 21.8968211, 'lng': 120.3527512}, 'northeast': {'lat': 22.8851844, 'lng': 120.9042007}}",138.01470208247764
????,"110, Taiwan, Taipei City, Xinyi District, ????????????48?",19,1741,25.046945,121.56313,https://maps.google.com/?cid=5022861519947288067,????,114,3672,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E6%A9%9F%E5%BB%A0,,135.96308392005102
?????????,"110, Taiwan, Taipei City, Xinyi District, ????????????48?",19,1741,25.046945,121.56313,https://maps.google.com/?cid=5022861519947288067,????,114,3672,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E6%A9%9F%E5%BB%A0,,135.96308392005102
???,"Yunlin County, Taiwan",21,1853,23.7092033,120.4313373,"https://maps.google.com/?q=Yunlin+County,+Taiwan&ftid=0x346eba2773c7f341:0x7ae4c47c03d12a95",Yunlin County,217,4802,https://zh.wikipedia.org/wiki/%E9%9B%B2%E6%9E%97%E7%B8%A3,"{'southwest': {'lat': 23.5050773, 'lng': 120.1329779}, 'northeast': {'lat': 23.8421452, 'lng': 120.7362057}}",135.24158067929616
????,"No. 1, Ketagalan Blvd, Zhongzheng District, Taipei City, Taiwan 10048",29,1804,25.039805,121.515877,https://maps.google.com/?cid=13677724230186525203,Taipei Guest House,188,5110,https://zh.wikipedia.org/wiki/%E8%87%BA%E5%8C%97%E8%B3%93%E9%A4%A8,,133.06331912617324
?????????????,"No. 82, Guosheng Rd, Anping District, Tainan City, Taiwan 708",23,1612,23.0015093,120.1606244,https://maps.google.com/?cid=11177395365903707633,Anping Old Fort,85,2741,https://zh.wikipedia.org/wiki/%E5%AE%89%E5%B9%B3%E5%8F%A4%E5%A0%A1,,132.29515375951544
????,"No. 82, Guosheng Rd, Anping District, Tainan City, Taiwan 708",23,1612,23.0015093,120.1606244,https://maps.google.com/?cid=11177395365903707633,Anping Old Fort,85,2741,https://zh.wikipedia.org/wiki/%E5%AE%89%E5%B9%B3%E5%8F%A4%E5%A0%A1,,132.29515375951544
?????,"No. 53?, Xinmin Rd, Xingang Township, Chiayi County, Taiwan 616",19,1775,23.5565215,120.347875,https://maps.google.com/?cid=2265432032953395044,?????,175,4440,https://zh.wikipedia.org/wiki/%E6%96%B0%E6%B8%AF%E5%A5%89%E5%A4%A9%E5%AE%AE,,132.26971349715788
?????,Taiwan,32,1718,25.053588,121.294792,https://maps.google.com/?cid=13482845564189820448,???,174,3460,https://zh.wikipedia.org/wiki/%E8%98%86%E7%AB%B9%E4%BA%94%E7%A6%8F%E5%AE%AE,,131.4990674465216
?????,"No. 30?, Kongmen Rd, Changhua City, Changhua County, Taiwan 500",27,1669,24.078519,120.543528,https://maps.google.com/?cid=1123059685505319,Confucius Temple in Changhua,132,3338,https://zh.wikipedia.org/wiki/%E5%BD%B0%E5%8C%96%E5%AD%94%E5%AD%90%E5%BB%9F,,130.50240552264265
